COMPANY NAME,NAME,RAZÓN SOCIAL,RUT,Dirección Facturación,Dirección Despacho,Comuna Despacho,Región Despacho,Horario Despacho,Precio Caja,diasCredito,Orden de compra (SI O NO),Unidad/Caja,EMAIL PEDIDO,EMAIL FACTURA,CENTRO DE NEGOCIOS ,VENDEDOR 
Cafe Nomade,Café Nómade Isidora,CAFETERÍAS MISTER SPA ,76.571.671-3,ISIDORA GOYENECHE 3400,isidora goyenechea 3400,Las Condes,Santiago,08:00 - 17:00,"$78,960",30,,CAJA,,Valesaltarini@cafenomade.cl ,VENTAS ,FJAMIS
Cafe Nogal,Cafe Nogal,RESTAURANTE VIVIANA ROJAS GOMEZ E.I.R.L.,77.138.664-4,"Camino Pimpinela s/n, Requinoa",Camino Pimpinela s/n,Requinoa,Ohiggins,,"$78,960",30,,CAJA,,viviana.rojas.g@outlook.es,VENTAS ,FJAMIS
Café Casa Colón,Café Casa Colón,INVERSIONES CASA COLON SPA,77.868.029-7,Av. Cristóbal Colón 3018,av cristóbal colón 3018,Las Condes,Santiago,10:00 - 18:00,"$78,960",1,,CAJA,,smeneses@nutriservice.cl,VENTAS ,FJAMIS
Cafe Aloe,Cafe Aloe,LA CHÍA SPA,77.811.552-2,Camino a farellones 14345. Local 1,camino a farellones 14345 local 1,Las Condes,Santiago,09:00 - 19:00,"$78,960",1,,CAJA,,lachiaspa@gmail.com,VENTAS ,FJAMIS
By Sal,By Sal,BY SAL LIMITADA,77.311.988-0,AV. EL RODEO 12850 L.71,av el rodeo 12850 local 71,Lo Barnechea,Santiago,10:00 - 20:00,"$78,960",1,,CAJA,,orojas@bysal.cl,VENTAS ,FJAMIS
Burger Home,Burger Home,NICOLAS GARDILCIC Y COMPANIA LIMITADA,77.732.040-8,AV CENTRAL 191,av central 191,Reñaca Bajo,Valparaíso,13:00 - 21:00,"$78,960",30,,CAJA,,eduardog@sushihome.cl,VENTAS ,FJAMIS
Brot Market,Brot Market,GRUPO BISMARCK SPA,77.587.512-7,Aguas Claras 1700,aguas claras 1700 local 5,La Reina,Santiago,08:00 - 21:00,"$78,960",30,,CAJA,,mauricio.kahn@radetzky.org,VENTAS ,FJAMIS
Brot Market,Brot Market Apoquindo,GRUPO BISMARCK SPA,77.587.512-7,Aguas Claras 1700,avda apoquindo #4400 local n°115,Las Condes,Santiago,09:00 - 17:00,"$78,960",30,,CAJA,,mauricio.kahn@radetzky.org,VENTAS ,FJAMIS
Botillería Dina,Botillería Dina,SOCIAL JOSE ESFUERZO PERALTA,17.353.517-1,Torreblanca 91 reñaca viña del mar,torreblanca 91,Reñaca,Valparaíso,10:00 - 21:00,$78.960,1,,CAJA,,Joseperalta_acevedo@hotmail.com,VENTAS ,FJAMIS
Bosques del Zar,Bosques del Zar,BOSQUES DEL ZAR SPA ,76.742.244-k,Gerónimo de Alderete 1189 Local 2,gerónimo de alderete 1189 local 2,Vitacura,Santiago,10:00 a 13:00  y de 15:00 a 17:00,"$78,960",1,,CAJA,,andrescaprile@gmail.com,VENTAS ,FJAMIS
BOSA Helados,BOSA Helados,INVERSIONES ENZA SPA (77.307.688-K),77.307.688-k,LAS TRANQUERAS 1479,las tranqueras 1479,Vitacura,Santiago,11:00 - 18:00,"$78,960",30,,CAJA,,dorisng16@gmail.com,VENTAS ,FJAMIS
Borde Negro Pirque,Borde Negro Pirque,BORDE NEGRO SPA,77.947.062-8,LT 1 CHACRA EL HIGUERAL,ramón subercaseaux 3444,Pirque,Santiago,12:00 - 20:00,$78.960,1,,CAJA,,contacto@bordenegropirque.cl,VENTAS ,FJAMIS
Boni Market,Boni Market,POCURO S.A.,76.094.843-8,Pocuro 2904,pocuro 2904,Providencia,Santiago,11:00 - 17:00,"$78,960",30,,CAJA,,pocuro.bonimarket@gmail.com,VENTAS ,FJAMIS
Bocado Saludable,Bocado Saludable EIRL,COMERCIALIZADORA DE PRODUCTOS SALUDABLES WLADIMIR NAVARRETE ARRAÑO E.I ,76.877.443-9,LA RINCONADA 571,la rinconada 571 local c,Huechuraba,Santiago,09:00 - 19:00,"$78,960",30,,CAJA,,bocado.saludable@gmail.com,VENTAS ,FJAMIS
Blue Market,Blue Market,COMERCIAL VELÁSQUEZ Y ORELLANA LIMITADA,77.656.987-9,AV EGAÑA 252  LOCAL 2,av egaña 252 local 2,La Reina,Santiago,09:00 - 21:00,$78.960,CHEQUE,,CAJA,,comercialvelasquezyorellana@gmail.com,VENTAS ,FJAMIS
Big Toro,Big Toro,GASTRONOMIA DEL VALLE SPA,76.781.944-7,Avenida O higgins 1375 OF. DEPTO F,ambrosio o'higgins 1525,Curacaví,Santiago,,"$78,960",1,,CAJA,,matiasjavier.molina@gmail.com,VENTAS ,FJAMIS
Bidfood,Bidfood,BIDFOOD CHILE S.A.,76.111.152-3,LO ECHEVERERS 550,lo echevers nº 550 edificio 12,Quilicura,Santiago,09:00 - 13:00,$76.800,30,Revisar OC,CAJA,,compras@bidfood.cl,VENTAS ,FNASSAR
Berlin Doner Kebab,Berlin Doner Kebab,BERLIN DONER KEBAB SPA,77.122.297-8,GERONIMO DE ALDERETE 1579,gerónimo de alderete 1579,Vitacura,Santiago,9.30 a 17 hs,"$78,960",CHEQUE 30 DÍAS,,CAJA,,contacto@bdk.cl,VENTAS ,FJAMIS
Bellas Artes Gourmet Panadería,Bellas Artes Gourmet Panadería,VIVAS FOOD SPA,77.251.159-0,MERCED 571,merced 571,Santiago Centro,Santiago,10:00 - 19:00,"$78,960",10,,CAJA,,bellasartesgourmet@hotmail.com,VENTAS ,FJAMIS
Bellas Artes Gourmet,Bellas Artes Gourmet,SALINAS Y BRICENO LIMITADA,76.894.074-6,MONJITAS 507,monjitas 507,Santiago Centro,Santiago,10:00 - 18:00,"$78,960",30,,CAJA,,bellasartesgourmet@hotmail.com,VENTAS ,FJAMIS
BeFree,BeFree,BE FREE SPA,77.018.978-0,AV MANQUEHUE SUR 31 LOCAL 250,compañía de jesus 1214 local 202,Santiago Centro,Santiago,10.30 a 15 hs,"$78,960",1,,CAJA,,adelano@chilebefree.com,VENTAS ,FJAMIS
Batard,Batard Tobalaba,GASTRONOMICA GATTAS Y TORRES LIMITADA,76.451.659-1,av Ossa 1682,av tobalaba 1771,Providencia,Santiago,10:00 - 20:00,"$78,960",30,,CAJA,,hola@batard.cl,VENTAS ,FJAMIS
Batard,Batard Las Condes,GASTRONOMICA GATTAS Y TORRES LIMITADA,76.451.659-1,av Ossa 1682,hernando de magallanes 970,Las Condes,Santiago,10:00 - 20:00,"$78,960",30,,CAJA,,hola@batard.cl,VENTAS ,FJAMIS
Atenas Botillería,Atenas Botillería,SOCIEDAD GARRIDO MADRID SPA,77.150.462-0,AV GRECIA 2916,av grecia 2916,Ñuñoa,Santiago,12:30 - 20:00,"$78,960",1,,CAJA,,sociedadgarridomadrid@gmail.com,VENTAS ,FJAMIS
ASF Market,ASF Market Concon,COMERCIALIZADORA AGRICOLA ASF LIMITADA,76.489.070-1,Edmundo Eluchans 1850 Local 3,av concon reñaca 375 concon,Concon,Valparaíso,09:30 - 18:00,$78.960,30,,CAJA,,jfaks@gagchile.cl,VENTAS ,FJAMIS
ASF Market,ASF Market Reñaca,COMERCIALIZADORA AGRICOLA ASF LIMITADA,76.489.070-1,Edmundo Eluchans 1850 Local 3,av edmundo eluchans 1850 local 3,Reñaca,Valparaíso,09:30 - 18:00,$78.960,30,,CAJA,,jfaks@gagchile.cl,VENTAS ,FJAMIS
ASF Market,ASF Market Viña del Mar,COMERCIALIZADORA AGRICOLA ASF LIMITADA,76.489.070-1,Edmundo Eluchans 1850 Local 3,av valparaíso 401 local 3,Viña del Mar,Valparaíso,09:30 - 18:00,$78.960,30,,CAJA,,jfaks@gagchile.cl,VENTAS ,FJAMIS
ASF Market,ASF Market Curauma,COMERCIALIZADORA AGRICOLA ASF LIMITADA,76.489.070-1,Edmundo Eluchans 1850 Local 3,avenida ovispo valdés subercaseaux 396 local 4 ,Curauma,Valparaíso,09:30 - 18:00,$78.960,30,,CAJA,,jfaks@gagchile.cl,VENTAS ,FJAMIS
Appa Market,Appa Market,SOCIEDAD COMERCIAL HUBNER Y GATICA LIMITADA,77.928.605-3,1 norte 511c,1 norte 511c viña del mar,Viña del Mar,Valparaíso,09:00 - 19:00,"$78,960",1,,CAJA,,comercialhuga@gmail.com,VENTAS ,FJAMIS
Almazán,Almazán,EMPRESA DE SERVICIOS DE ALIMENTACION LIMITADA,76.497.391-7,Jose manuel cousiño 1835,av pocuro 2865-2875,Providencia,Santiago,09:30 - 19:00,"$78,960",CONTADO (NV),,CAJA,,Almazan.gourmet@gmail.com,VENTAS ,FJAMIS
Almasá,Almasá,ALMASA MERCADO DE ORIENTE SPA,77.266.548-2,AV SIMON BOLIVAR 4800,av simón bolívar 4800 loc 104,Ñuñoa ,Santiago,15:30 - 20:00,"$78,960",30,,CAJA,,Almasaemporio@gmail.com,VENTAS ,FJAMIS
All Free,All Free,ALLFREE SPA,76.773.009-8,APOQUINDO 7474,apoquindo 7474,Las Condes,Santiago,08:30 - 17:30,"$78,960",30,,CAJA,,fernanda.fache@allfree.cl,VENTAS ,FJAMIS
Alimentos del Pedregal,Del Pedregal Apoquindo,COMERCIAL QUINTO CENTRO SPA,76.096.373-9,Kurt Moller 199 Local 7,av apoquindo 7613,Las Condes,Santiago,10:00 - 18:00,"$71,760",45,Revisar OC,CAJA,,jcarcamo@alimentosdelpedregal.cl,VENTAS ,FJAMIS
Alimentos del Pedregal,Alimentos del Pedregal Puente Alto,COMERCIAL QUINTO CENTRO SPA,76.096.373-9,Kurt Moller 199 Local 7,av concha y toro 450,Puente Alto,Santiago,10:00 - 17:30,"$71,760",30,Revisar OC,CAJA,,jcarcamo@alimentosdelpedregal.cl,VENTAS ,FJAMIS
Alimentos del Pedregal,Alimentos Del Pedregal Reñaca,COMERCIAL QUINTO CENTRO SPA,76.096.373-9,Kurt Moller 199 Local 7,av ignacio carrera pinto 60,Viña del mar,Valparaíso,10:00 - 17:00,"$71,760",30,Revisar OC,CAJA,,jcarcamo@alimentosdelpedregal.cl,VENTAS ,FJAMIS
Alimentos del Pedregal,Alimentos del Pedregal La Dehesa,COMERCIAL QUINTO CENTRO SPA,76.096.373-9,Kurt Moller 199 Local 7,av la dehesa 1965,Lo Barnechea,Santiago,09:00 - 17:00,"$71,760",30,Revisar OC,CAJA,,jcarcamo@alimentosdelpedregal.cl,VENTAS ,FJAMIS
Alimentos del Pedregal,Alimentos del Pedregal Providencia,COMERCIAL QUINTO CENTRO SPA,76.096.373-9,Kurt Moller 199 Local 7,av providencia 1200,Providencia,Santiago,10:00 - 17:30,"$71,760",30,Revisar OC,CAJA,,jcarcamo@alimentosdelpedregal.cl,VENTAS ,FJAMIS
Alimentos del Pedregal,Alimentos del Pedregal Vitacura 2,COMERCIAL QUINTO CENTRO SPA,76.096.373-9,Kurt Moller 199 Local 7,av vitacura 7648,Vitacura,Santiago,10:00 - 17:00,"$71,760",30,Revisar OC,CAJA,,jcarcamo@alimentosdelpedregal.cl,VENTAS ,FJAMIS
Alimentos del Pedregal,Alimentos del Pedregal Viña,COMERCIAL QUINTO CENTRO SPA,76.096.373-9,Kurt Moller 199 Local 7,avenida valparaiso 121,Viña del mar,Valparaíso,10:00 - 17:00,"$71,760",30,Revisar OC,CAJA,,jcarcamo@alimentosdelpedregal.cl,VENTAS ,FJAMIS
Alimentos del Pedregal,Alimentos Del Pedregal San Bernardo,COMERCIAL QUINTO CENTRO SPA,76.096.373-9,Kurt Moller 199 Local 7,bernardo o'higgins 457,San Bernardo,Santiago,10:00 - 17:00,"$71,760",30,Revisar OC,CAJA,,jcarcamo@alimentosdelpedregal.cl,VENTAS ,FJAMIS
Alimentos del Pedregal,Alimentos del Pedregal Los Militares,COMERCIAL QUINTO CENTRO SPA,76.096.373-9,Kurt Moller 199 Local 7,los militares 5953,Las Condes,Santiago,10:00 - 17:30,"$71,760",30,Revisar OC,CAJA,,jcarcamo@alimentosdelpedregal.cl,VENTAS ,FJAMIS
Alimentos del Pedregal,Alimentos del Pedregal P de Valdivia,COMERCIAL QUINTO CENTRO SPA,76.096.373-9,Kurt Moller 199 Local 7,pedro de valdivia 247,Providencia ,Santiago ,09:00 - 17:00,"$71,760",30,Revisar OC,CAJA,,jcarcamo@alimentosdelpedregal.cl,VENTAS ,FJAMIS
Alimentos del Pedregal,Alimentos de Pedregal Valparaiso,COMERCIAL QUINTO CENTRO SPA,76.096.373-9,Kurt Moller 199 Local 7,pedro montt 1872,Valparaiso,Valparaíso,10:00 - 17:00,"$71,760",30,Revisar OC,CAJA,,jcarcamo@alimentosdelpedregal.cl,VENTAS ,FJAMIS
Alimentos del Pedregal,Alimentos del Pedregal Plaza Egaña,COMERCIAL QUINTO CENTRO SPA,76.096.373-9,Kurt Moller 199 Local 7,plaza egaña 38,Ñuñoa,Santiago ,09:00 - 17:00,"$71,760",30,Revisar OC,CAJA,,jcarcamo@alimentosdelpedregal.cl,VENTAS ,FJAMIS
Alimentos del Pedregal,Alimentos del Pedregal Franklin,COMERCIAL QUINTO CENTRO SPA,76.096.373-9,Kurt Moller 199 Local 7,san diego 2023,Santiago Centro,Santiago,12:00 - 19:00,"$71,760",30,Revisar OC,CAJA,,jcarcamo@alimentosdelpedregal.cl,VENTAS ,FJAMIS
Alimentos del Pedregal,Alimentos del Pedregal Vitacura 1,COMERCIAL QUINTO CENTRO SPA,76.096.373-9,Kurt Moller 199 Local 7,vitacura 5000,Vitacura,Santiago,10:00 - 17:00,"$71,760",30,Revisar OC,CAJA,,jcarcamo@alimentosdelpedregal.cl,VENTAS ,FJAMIS
Alfonsina Empanadas,Alfonsina Empanadas,ALFONSINA SPA,77.959.446-7,AV VITACURA 7128,av vitacura 7128 vitacura rm,Vitacura,Santiago,12:00 - 17:00,"$78,960",1,,CAJA,,hernan.gomez@alfonsinachile.cl,VENTAS ,FJAMIS
Al Jazeera,Al Jazeera Providencia,SERVICIOS GASTRONOMICOS ALJAZEERA SPA,76.192.723-K,HUERFANOS 1384 LC 4,guardia vieja 189,Providencia,Santiago,12:00 - 19:00,"$78,960",30,,CAJA,,Restaurantealjazeera@gmail.com,VENTAS ,FJAMIS
Al Jazeera,Al Jazeera Santiago,SERVICIOS GASTRONOMICOS ALJAZEERA SPA,76.192.723-K,HUERFANOS 1384 LC 4,huerfanos 1385,Santiago Centro,Santiago,12:00 - 19:00,"$78,960",30,,CAJA,,Restaurantealjazeera@gmail.com,VENTAS ,FJAMIS
ABC Market,ABC Market,GRUPO ABC RETAIL SPA ,77.794.915-2,LIRA 353,lira 353 local 8,Santiago Centro,Santiago,09:00 - 21:00,"$78,960",30,,CAJA,,matias.stephan03@gmail.com,VENTAS ,FNASSAR
360 Market,360 Market,INVERSIONES MARKET 360 SPA,77.597.814-7,PROVIDENCIA 1083 LC 2 BD 3 DPTO. 2,av providencia 1083,Providencia,Santiago,08:00 - 20:00,$78.960,1,,CAJA,,<inversionesmarket360@gmail.com>,VENTAS ,FJAMIS
Rienda Suelta,Rienda Suelta Providencia,CARNES RIENDA SUELTA SPA,77.187.019-8,Amapolas 1272,Amapolas 1272,Providencia,Santiago,10:00 - 19:00,$78.960,7,,CAJA,,oliverbeyzaga00@gmail.com ,VENTAS ,FJAMIS
